narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
251,11,78,0,0.0,1.0,1,0.0,2444.0,19.5,1923.0,female,Nisei,2006.0,C
254,16,114,0,0.0,1.0,1,1.0,2444.0,13.5,1929.0,female,Nisei,2006.0,A
256,19,136,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2006.0,A
257,10,530,0,0.0,1.0,1,1.0,1269.0,13.5,1929.0,female,Nisei,2006.0,A
258,8,417,0,0.0,1.0,1,0.0,1269.0,19.5,1923.0,male,Nisei,2006.0,A
259,13,114,0,0.0,1.0,1,0.0,2444.0,8.5,1934.0,female,Nisei,2007.0,A
26,25,181,0,0.0,1.0,1,0.0,1359.0,31.25,1911.0,female,Issei,1997.0,A
260,9,475,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2007.0,A
264,25,211,0,0.0,1.0,1,1.0,1312.0,18.333,1924.0,female,Nisei,2007.0,A
265,7,381,0,0.0,1.0,1,0.0,2444.0,20.5,1922.0,female,Nisei,2007.0,A
266,12,621,0,0.0,1.0,1,0.0,1269.0,22.5,1920.0,male,Nisei,2007.0,A
267,10,531,0,0.0,1.0,1,0.0,2444.0,8.5,1934.0,female,Nisei,2007.0,A
268,8,422,0,0.0,1.0,1,1.0,2444.0,18.5,1924.0,male,Nisei,2007.0,A
269,12,639,0,0.0,1.0,1,0.0,2444.0,6.5,1936.0,female,Nisei,2007.0,A
27,24,144,0,0.0,1.0,1,0.0,1175.0,24.667,1918.0,male,Nisei,1999.0,A
277,37,2025,0,0.0,1.0,1,0.0,2652.0,4.25,1938.0,female,Nisei,2010.0,A
278,31,1683,0,0.0,1.0,1,0.0,2455.0,27.5,1915.0,male,Nisei,2011.0,A
284,9,479,0,0.0,1.0,1,0.0,2444.0,22.5,1920.0,male,Nisei,2007.0,A
285,8,420,0,0.0,1.0,1,0.0,2444.0,29.5,1913.0,male,Nisei,2007.0,A
286,10,527,0,0.0,1.0,1,1.0,2444.0,18.5,1924.0,female,Nisei,2007.0,A
287,39,284,0,0.0,1.0,1,1.0,1312.0,14.333,1928.0,male,Nisei,2008.0,A
288,22,161,0,0.0,1.0,1,1.0,1306.0,18.417,1924.0,female,Nisei,2007.0,A
289,24,186,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,male,Nisei,2007.0,A
290,25,209,0,0.0,1.0,1,0.0,1359.0,23.25,1919.0,male,Nisei,2008.0,A
291,25,224,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,male,Nisei,2008.0,A
292,25,185,0,0.0,1.0,1,1.0,1312.0,18.333,1924.0,male,Nisei,2008.0,A
293,49,345,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,female,Nisei,2008.0,A
294,47,304,0,0.0,1.0,1,1.0,1312.0,15.333,1927.0,male,Nisei,2007.0,A
295,25,137,0,0.0,1.0,1,1.0,1312.0,16.333,1926.0,male,Nisei,2007.0,A
296,36,250,0,0.0,1.0,1,0.0,1470.0,21.417,1921.0,female,Nisei,2008.0,A
298,24,146,0,0.0,1.0,1,0.0,2534.0,21.25,1921.0,female,Nisei,2008.0,A
299,25,225,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,female,Nisei,2008.0,A
30,17,165,0,0.0,1.0,1,0.0,1312.0,23.333,1919.0,male,Nisei,1997.0,A
300,23,131,0,0.0,1.0,1,1.0,633.0,12.833,1930.0,female,Sansei,2008.0,A
301,22,145,0,0.0,1.0,1,1.0,1314.0,16.333,1926.0,male,Nisei,2008.0,A
302,19,140,0,0.0,1.0,1,0.0,2461.0,5.5,1937.0,female,Sansei,2008.0,A
305,25,183,0,0.0,1.0,1,1.0,1375.0,16.417,1926.0,male,Nisei,2008.0,A
306,24,158,0,0.0,1.0,1,1.0,1277.0,12.417,1930.0,male,Nisei,2008.0,A
31,25,322,0,0.0,1.0,1,0.0,685.0,0.083,1944.0,male,Sansei,1999.0,A
310,25,181,0,0.0,1.0,1,0.0,2705.0,23.333,1919.0,male,Nisei,2008.0,A
311,19,117,0,0.0,1.0,1,0.0,1314.0,3.333,1939.0,female,Sansei,2008.0,A
313,21,170,0,0.0,1.0,1,0.0,1314.0,7.333,1935.0,male,Nisei,2008.0,A
314,24,168,0,0.0,1.0,1,1.0,1314.0,17.333,1925.0,female,Nisei,2008.0,A
316,24,191,0,0.0,1.0,1,0.0,1314.0,9.333,1933.0,female,Sansei,2008.0,A
317,13,692,0,0.0,1.0,1,0.0,1269.0,20.5,1922.0,male,Nisei,2008.0,A
318,8,413,0,0.0,1.0,1,0.0,2444.0,24.5,1918.0,female,Nisei,2008.0,A
320,11,204,0,0.0,1.0,1,1.0,1186.0,11.667,1931.0,male,Nisei,2008.0,A
321,19,128,0,0.0,1.0,1,1.0,3255.0,17.333,1925.0,female,Nisei,2008.0,A
322,47,1409,0,0.0,1.0,1,0.0,1146.0,8.75,1934.0,male,Nisei,2012.0,A
323,18,97,0,0.0,1.0,1,0.0,1393.0,22.417,1920.0,male,Nisei,2008.0,C
324,28,260,0,0.0,1.0,1,0.0,1269.0,3.5,1939.0,male,Sansei,2008.0,A
325,23,184,0,0.0,1.0,1,0.0,2240.0,26.25,1916.0,female,Nisei,2008.0,A
327,23,138,0,0.0,1.0,1,0.0,1343.0,22.333,1920.0,female,Nisei,2008.0,A
328,25,155,0,0.0,1.0,1,0.0,1343.0,19.333,1923.0,male,Nisei,2008.0,A
329,24,174,0,0.0,1.0,1,0.0,1343.0,21.333,1921.0,female,Nisei,2008.0,A
330,25,155,0,0.0,1.0,1,0.0,1343.0,24.333,1918.0,male,Nisei,2008.0,A
